X,Результаты модуля (FunctionWithModule)
-6.0,6.068721576178407E7
-5.9989,5.912499244569612E7
-5.9978,5.760891451795535E7
-5.9967,5.613743202765471E7
-5.9956,5.4709053456159756E7
-5.9945,5.332234327561639E7
-5.9934,5.197591961928755E7
-5.9923,5.066845205818266E7
-5.9912,4.9398659478696264E7
-5.9901,4.816530805627385E7
-5.989,4.696720932037569E7
-5.9879,4.5803218306286305E7
-5.9868,4.467223178951146E7
-5.9857,4.3573186598762564E7
-5.9846,4.250505800373471E7
-5.9835,4.1466858174048625E7
-5.9824,4.045763470597976E7
-5.9813,3.947646921369224E7
-5.9802,3.852247598193698E7
-5.9791,3.759480067728971E7
-5.978,3.669261911515469E7
-5.9769,3.581513607992828E7
-5.9758,3.49615841958112E7
-5.9747,3.4131222845921285E7
-5.9736,3.33233371374482E7
-5.9725,3.2537236910726443E7
-5.9714,3.1772255790196937E7
-5.9703,3.1027750275323745E7
-5.9692,3.0303098869649228E7
-5.9681,2.9597701246242266E7
-5.967,2.89109774478786E7
-5.9659,2.824236712039455E7
-5.9648,2.7591328777701333E7
-5.9637,2.695733909705902E7
-5.9626,2.633989224322939E7
-5.9615,2.5738499220242135E7
-5.9604,2.5152687249535207E7
-5.9593,2.4581999173303362E7
-5.9582,2.402599288194978E7
-5.9571,2.348424076457101E7
-5.956,2.29563291814754E7
-5.9549,2.2441857957768198E7
-5.9538,2.1940439897095628E7
-5.9527,2.1451700314662308E7
-5.9516,2.0975276588703655E7
-5.9505,2.0510817729609903E7
-5.9494,2.0057983965951778E7
-5.9483,1.961644634668435E7
-5.9472,1.918588635883804E7
-5.9461,1.8765995560046807E7
-5.945,1.835647522527955E7
-5.9439,1.795703600718505E7
-5.9428,1.756739760947093E7
-5.9417,1.7187288472779218E7
-5.9406,1.6816445472535454E7
-5.9395,1.6454613628271775E7
-5.9384,1.6101545823955404E7
-5.9373,1.5757002538863758E7
-5.9362,1.5420751588575872E7
-5.9351,1.5092567875665141E7
-5.934,1.4772233149699466E7
-5.9329,1.4459535776166467E7
-5.9318,1.4154270513968417E7
-5.9307,1.3856238301133694E7
-5.9296,1.356524604842152E7
-5.9285,1.3281106440498095E7
-5.9274000000000004,1.3003637744384687E7
-5.9263,1.2732663624884719E7
-5.9252,1.2468012966719117E7
-5.9241,1.220951970309693E7
-5.923,1.1957022650472773E7
-5.9219,1.1710365349246329E7
-5.9208,1.146939591017111E7
-5.9197,1.1233966866249662E7
-5.9186,1.1003935029902214E7
-5.9175,1.0779161355203519E7
-5.9164,1.0559510804992175E7
-5.9153,1.034485222266624E7
-5.9142,1.0135058208482333E7
-5.9131,9930005.000188628
-5.912,9729572.357823798
-5.9109,9533643.452526253
-5.9098,9342104.759199625
-5.9087,9154845.952889027
-5.9076,8971759.808729546
-5.9065,8792742.105331063
-5.9054,8617691.531472381
-5.9043,8446509.595980434
-5.9032,8279100.540676246
-5.9021,8115371.256273207
-5.901,7955231.2011204325
-5.8999,7798592.322684284
-5.8988,7645368.981668916
-5.8977,7495477.878678752
-5.8966,7348837.983329462
-5.8955,7205370.465719639
-5.8944,7064998.630176819
-5.8933,6927647.851195478
-5.8922,6793245.511487571
-5.8911,6661720.9420716325
-5.89,6533005.364324537
-5.8889,6407031.833928331
-5.8878,6283735.186643216
-5.8867,6163051.98584168
-5.8856,6044920.471743027
-5.8845,5929280.512286425
-5.8834,5816073.555585808
-5.8823,5705242.583910918
-5.8812,5596732.069141109
-5.8801,5490487.929640439
-5.879,5386457.488505128
-5.8779,5284589.433134882
-5.8768,5184833.776082795
-5.8757,5087141.8171407115
-5.8746,4991466.106615228
-5.8735,4897760.4097563755
-5.8724,4805979.672297174
-5.8713,4716079.987067762
-5.8702,4628018.561646991
-5.8690999999999995,4541753.687016271
-5.868,4457244.707182143
-5.8669,4374451.989734558
-5.8658,4293336.8973100325
-5.8647,4213861.759928499
-5.8636,4135989.848175674
-5.8625,4059685.347202052
-5.8614,3984913.331511575
-5.8603,3911639.7405141164
-5.8592,3839831.3548162556
-5.8581,3769455.7732261433
-5.857,3700481.39044904
-5.8559,3632877.3754510647
-5.8548,3566613.6504686796
-5.8537,3501660.8706438523
-5.8526,3437990.4042638973
-5.8515,3375574.313586671
-5.8504,3314385.336232002
-5.8493,3254396.8671217165
-5.8482,3195582.9409494456
-5.8471,3137918.2151650623
-5.846,3081377.953455297
-5.8449,3025938.0097062974
-5.8438,2971574.812432061
-5.8427,2918265.349653968
-5.8416,2865987.154217686
-5.8405,2814718.289533084
-5.8394,2764437.3357241494
-5.8383,2715123.3761759787
-5.8372,2666755.9844666044
-5.8361,2619315.211671399
-5.835,2572781.5740286554
-5.8339,2527136.0409549824
-5.8328,2482360.0233998955
-5.8317,2438435.3625291158
-5.8306,2395344.3187261606
-5.8295,2353069.560902952
-5.8284,2311594.1561094485
-5.8273,2270901.5594338262
-5.8262,2230975.604183614
-5.8251,2191800.492339803
-5.824,2153360.7852755124
-5.8229,2115641.3947310983
-5.8218,2078627.5740381242
-5.8207,2042304.9095847772
-5.8196,2006659.3125149994
-5.8185,1971677.010655266
-5.8174,1937344.54066129
-5.8163,1903648.7403785633
-5.8152,1870576.7414104328
-5.8141,1838115.9618874309
-5.813,1806254.099431861
-5.8119,1774979.1243120767
-5.8108,1744279.2727808189
-5.8097,1714143.040591892
-5.8086,1684559.1766907612
-5.8075,1655516.6770730233
-5.8064,1627004.7788066128
-5.8053,1599012.9542125626
-5.8042,1571530.9052000253
-5.8031,1544548.5577509103
-5.802,1518056.056549779
-5.8009,1492043.759755155
-5.7998,1466502.2339077166
-5.7987,1441422.2489719323
-5.7976,1416794.7735069832
-5.7965,1392610.9699634635
-5.7954,1368862.1901022037
-5.7943,1345539.9705319721
-5.7932,1322636.0283622604
-5.7921,1300142.2569684545
-5.791,1278050.7218657916
-5.7899,1256353.6566892115
-5.7888,1235043.4592763276
-5.7877,1214112.6878502863
-5.7866,1193554.0572999103
-5.7855,1173360.435554537
-5.7844,1153524.8400507635
-5.7833,1134040.4342885432
-5.7822,1114900.5244743351
-5.7811,1096098.5562487526
-5.78,1077628.1114964243
-5.7789,1059482.905235961
-5.7778,1041656.7825875473
-5.7767,1024143.7158163763
-5.7756,1006937.801449561
-5.7745,990033.2574648345
-5.7734,973424.4205487552
-5.7722999999999995,957105.7434228358
-5.7712,941071.7922356295
-5.7701,925317.2440189524
-5.769,909836.8842067069
-5.7679,894625.6042143687
-5.7668,879678.3990777904
-5.7657,864990.3651495198
-5.7646,850556.6978512323
-5.7635,836372.6894807616
-5.7624,822433.7270722669
-5.7613,808735.2903080942
-5.7602,795272.949481129
-5.7591,782042.363506084
-5.758,769039.2779786356
-5.7569,756259.5232810326
-5.7558,743699.0127330312
-5.7547,731353.7407869867
-5.7536,719219.7812657801
-5.7525,707293.285642925
-5.7514,695570.4813629808
-5.7503,684047.6702021203
-5.7492,672721.2266672123
-5.7481,661587.5964326072
-5.747,650643.2948137032
-5.7459,639884.9052763102
-5.7448,629309.0779808589
-5.7437,618912.5283606856
-5.7426,608692.0357333755
-5.7415,598644.441944399
-5.7404,588766.650042311
-5.7393,579055.622984506
-5.7382,569508.3823729819
-5.7371,560122.0072191978
-5.736,550893.632737356
-5.7349,541820.4491654144
-5.7338000000000005,532899.7006131491
-5.7327,524128.68393642723
-5.7316,515504.7476373522
-5.7305,507025.2907893122
-5.7294,498687.76198651746
-5.7283,490489.6583173494
-5.7272,482428.5243609634
-5.7261,474501.95120652317
-5.725,466707.5754945619
-5.7239,459043.0784799058
-5.7228,451506.1851156184
-5.7217,444094.6631575104
-5.7206,436806.3222886106
-5.7195,429639.01326322067
-5.7184,422590.6270699894
-5.7173,415659.09411364445
-5.7162,408842.3834148052
-5.7151,402138.50182755
-5.714,395545.4932742677
-5.7129,389061.437997336
-5.7118,382684.45182734256
-5.7107,376412.68546729296
-5.7096,370244.32379255985
-5.7085,364177.58516612794
-5.7074,358210.72076878545
-5.7063,352342.0139439113
-5.7052,346569.7795565131
-5.7041,340892.3633661824
-5.703,335308.14141359535
-5.7019,329815.5194203509
-5.7008,324412.9322016793
-5.6997,319098.8430918437
-5.6986,313871.743381884
-5.6975,308730.15176942345
-5.6964,303672.6138202557
-5.6953,298697.7014414238
-5.6942,293804.0123655812
-5.6931,288990.16964626557
-5.692,284254.82116397104
-5.6909,279596.63914264605
-5.6898,275014.3196764495
-5.6887,270506.5822664916
-5.6876,266072.1693673656
-5.6865,261709.8459432154
-5.6854,257418.39903312793
-5.6843,253196.637325653
-5.6832,249043.39074220633
-5.6821,244957.5100292241
-5.681,240937.8663587686
-5.6799,236983.35093749434
-5.6788,233092.8746237177
-5.6777,229265.36755243485
-5.6766,225499.77876810564
-5.6754999999999995,221795.07586503192
-5.6744,218150.24463514713
-5.6733,214564.28872305297
-5.6722,211036.2292881824
-5.6711,207565.10467385055
-5.67,204149.97008310974
-5.6689,200789.89726123086
-5.6678,197483.97418465896
-5.6667,194231.30475630984
-5.6655999999999995,191031.00850706425
-5.6645,187882.2203033247
-5.6634,184784.09006048267
-5.6623,181735.78246221924
-5.6612,178736.47668543065
-5.6601,175785.3661307322
-5.659,172881.6581583674
-5.6579,170024.57382943833
-5.6568,167213.34765230626
-5.6557,164447.2273340905
-5.6546,161725.47353711227
-5.6535,159047.35964022286
-5.6524,156412.1715048632
-5.6513,153819.2072457883
-5.6502,151267.77700633736
-5.6491,148757.20273816
-5.648,146286.81798529657
-5.6469,143855.9676725282
-5.6458,141464.00789789684
-5.6447,139110.3057293009
-5.6436,136794.23900510967
-5.6425,134515.19613866645
-5.6414,132272.5759266325
-5.6403,130065.78736107181
-5.6392,127894.24944521251
-5.6381,125757.3910127917
-5.637,123654.65055091432
-5.6359,121585.47602636159
-5.6348,119549.32471525247
-5.6337,117545.66303602222
-5.6326,115573.96638561352
-5.6315,113633.71897883486
-5.6304,111724.41369081348
-5.6293,109845.55190248121
-5.6282,107996.64334902154
-5.6271,106177.2059712293
-5.626,104386.76576970948
-5.6249,102624.85666187036
-5.6238,100891.02034163736
-5.6227,99184.80614184709
-5.6216,97505.77089925089
-5.6205,95853.47882209094
-5.6194,94227.50136018086
-5.6183,92627.41707744915
-5.6172,91052.81152689378
-5.6161,89503.27712788717
-5.615,87978.41304581019
-5.6139,86477.82507393336
-5.6128,85001.12551753152
-5.6117,83547.93308016227
-5.6106,82117.87275207802
-5.6095,80710.5757007271
-5.6084,79325.6791632941
-5.6073,77962.82634125101
-5.6062,76621.66629686143
-5.6051,75301.85385162114
-5.604,74003.04948657239
-5.6029,72724.919244472
-5.6018,71467.13463376756
-5.6007,70229.37253434726
-5.5996,69011.31510503171
-5.5985,67812.64969276813
-5.5974,66633.06874349245
-5.5963,65472.26971463347
-5.5952,64329.95498921941
-5.5941,63205.83179155763
-5.593,62099.61210445711
-5.5919,61011.01258796255
-5.5908,59939.75449956916
-5.5897,58885.56361589243
-5.5886,57848.170155762644
-5.5875,56827.30870471211
-5.5864,55822.718140833465
-5.5853,54834.141561984085
-5.5842,53861.3262143036
-5.5831,52904.02342201825
-5.582,51961.988518519094
-5.5809,51034.98077867493
-5.5798,50122.7633523637
-5.5786999999999995,49225.10319919953
-5.5776,48341.77102442879
-5.5765,47472.54121597068
-5.5754,46617.19178259022
-5.5743,45775.50429317086
-5.5732,44947.26381707046
-5.5721,44132.25886553945
-5.571,43330.28133418345
-5.5699,42541.12644644359
-5.5687999999999995,41764.59269808265
-5.5677,41000.48180265433
-5.5666,40248.598637932344
-5.5655,39508.751193294804
-5.5644,38780.75051802899
-5.5633,38064.41067054986
-5.5622,37359.548668513664
-5.5611,36665.98443980567
-5.56,35983.54077438856
-5.5588999999999995,35312.043276997574
-5.5578,34651.320320660496
-5.5567,34001.20300102964
-5.5556,33361.525091516865
-5.5545,32732.12299920429
-5.5534,32112.835721526615
-5.5523,31503.50480370648
-5.5512,30903.97429692819
-5.5501,30314.090717238054
-5.549,29733.703005157677
-5.5479,29162.662485992947
-5.5468,28600.82283083482
-5.5457,28048.040018227413
-5.5446,27504.172296501216
-5.5435,26969.080146753393
-5.5424,26442.626246464424
-5.5413,25924.675433741064
-5.5402,25415.094672172763
-5.5391,24913.753016289174
-5.538,24420.521577609867
-5.5369,23935.27349127536
-5.5358,23457.88388324633
-5.5347,22988.229838063853
-5.5336,22526.19036715771
-5.5325,22071.646377694997
-5.5314,21624.480641957452
-5.5303,21184.577767239633
-5.5292,20751.824166256247
-5.5281,20326.10802805253
-5.527,19907.31928940554
-5.5259,19495.34960670869
-5.5248,19090.092328331928
-5.5237,18691.442467446785
-5.5226,18299.296675310055
-5.5215,17913.55321499689
-5.5204,17534.11193557491
-5.5193,17160.874246711064
-5.5182,16793.74309370731
-5.5171,16432.62293295028
-5.516,16077.419707775643
-5.5149,15728.040824732505
-5.5138,15384.395130246417
-5.5127,15046.392887670823
-5.5116,14713.945754720758
-5.5105,14386.966761281974
-5.5094,14065.370287588601
-5.5083,13749.072042764761
-5.5072,13437.989043720407
-5.5061,13132.039594397862
-5.505,12831.143265361148
-5.5039,12535.220873724056
-5.5028,12244.194463408381
-5.5017,11957.987285729074
-5.5006,11676.52378029901
-5.4995,11399.729556247767
-5.4984,11127.531373750395
-5.4973,10859.85712585942
-5.4962,10596.635820634616
-5.4951,10337.797563566503
-5.494,10083.273540287331
-5.4929,9832.995999566107
-5.4918,9586.89823658062
-5.4907,9344.914576463192
-5.4896,9106.980358114764
-5.4885,8873.031918284183
-5.4874,8643.006575904916
