X,Результаты модуля (RealMathModule),Результаты модуля (IterMathModule)
-6.0,6.068721576178407E7,6.068721430290983E7
-5.9989,5.912499244569612E7,5.912499100141325E7
-5.9978,5.760891451795535E7,5.760891308733488E7
-5.9967,5.613743202765471E7,5.613743060981068E7
-5.9956,5.4709053456159756E7,5.470905205025225E7
-5.9945,5.332234327561639E7,5.3322341880844854E7
-5.9934,5.197591961928755E7,5.197591823488753E7
-5.9923,5.066845205818266E7,5.066845068342695E7
-5.9912,4.9398659478696264E7,4.939865811289208E7
-5.9901,4.816530805627385E7,4.816530669875968E7
-5.989,4.696720932037569E7,4.69672079705232E7
-5.9879,4.5803218306286305E7,4.580321696349626E7
-5.9868,4.467223178951146E7,4.467223045321134E7
-5.9857,4.3573186598762564E7,4.357318526840862E7
-5.9846,4.250505800373471E7,4.250505667880669E7
-5.9835,4.1466858174048625E7,4.1466857923188746E7
-5.9824,4.045763470597976E7,4.045763446553719E7
-5.9813,3.947646921369224E7,3.947646898321537E7
-5.9802,3.852247598193698E7,3.8522475760996185E7
-5.9791,3.759480067728971E7,3.7594800465473644E7
-5.978,3.669261911515469E7,3.669261891207157E7
-5.9769,3.581513607992828E7,3.5815135885203436E7
-5.9758,3.49615841958112E7,3.4961584009087294E7
-5.9747,3.4131222845921285E7,3.413122266685685E7
-5.9736,3.33233371374482E7,3.332333696571686E7
-5.9725,3.2537236910726443E7,3.253723674601781E7
-5.9714,3.1772255790196937E7,3.1772255632212862E7
-5.9703,3.1027750275323745E7,3.102775012378013E7
-5.9692,3.0303098869649228E7,3.0303098724275414E7
-5.9681,2.9597701246242266E7,2.959770110677825E7
-5.967,2.89109774478786E7,2.891097731407687E7
-5.9659,2.824236712039455E7,2.8242366992017794E7
-5.9648,2.7591328777701333E7,2.759132865452366E7
-5.9637,2.695733909705902E7,2.695733897886348E7
-5.9626,2.633989224322939E7,2.6339892129809204E7
-5.9615,2.5738499220242135E7,2.5738499111399528E7
-5.9604,2.5152687249535207E7,2.5152687145080414E7
-5.9593,2.4581999173303362E7,2.4581999073055785E7
-5.9582,2.402599288194978E7,2.4025992785736337E7
-5.9571,2.348424076457101E7,2.3484240672225755E7
-5.956,2.29563291814754E7,2.2956329092839837E7
-5.9549,2.2441857957768198E7,2.244185787269097E7
-5.9538,2.1940439897095628E7,2.1940439815431442E7
-5.9527,2.1451700314662308E7,2.145170023627252E7
-5.9516,2.0975276588703655E7,2.0975276513455167E7
-5.9505,2.0510817729609903E7,2.0510817657375433E7
-5.9494,2.0057983965951778E7,2.005798389661006E7
-5.9483,1.961644634668435E7,1.961644628011834E7
-5.9472,1.918588635883804E7,1.9185886294936232E7
-5.9461,1.8765995560046807E7,1.8765995498702306E7
-5.945,1.835647522527955E7,1.83564751663899E7
-5.9439,1.795703600718505E7,1.7957035950652197E7
-5.9428,1.756739760947093E7,1.7567397555200882E7
-5.9417,1.7187288472779218E7,1.7187288420682337E7
-5.9406,1.6816445472535454E7,1.681644542252529E7
-5.9395,1.6454613628271775E7,1.6454613580265896E7
-5.9384,1.6101545823955404E7,1.610154577787451E7
-5.9373,1.5757002538863758E7,1.5757002494631985E7
-5.9362,1.5420751588575872E7,1.5420751546120742E7
